tour_id,name,description,price,duration,location,image_url,available_seats
1,Ba Na Hills,"Đến với Sun World Ba Na Hills, du khách sẽ được trải nghiệm khí hậu bốn mùa trong một ngày, chu du trên những tuyến cáp treo, đắm chìm trong cảnh quan thiên nhiên của những cánh rừng nguyên sinh nối tiếp ở Bà Nà, thưởng thức ẩm thực đa dạng và tận hưởng không khí lễ hội ngập tràn.",50.00,2,"Thôn An Sơn, xã Hòa Ninh, huyện Hòa Vang, TP Đà Nẵng",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQPLWOowgMwwjlo4Fu20otQdpBXf2wyfe2LZQ&s,100
2,The Marble Mountains,"Ngũ Hành Sơn là một danh thắng gồm 6 ngọn núi đá vôi nhô lên trên một bãi cát ven biển, trên một diện tích khoảng 2 km² nằm cách trung tâm thành phố Đà Nẵng, Việt Nam khoảng 8 km về phía Đông Nam, ngay trên tuyến đường Đà Nẵng - Hội An",20.00,1,"81 Huyền Trân Công Chúa, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRAhNHp6qMcpXQzkHhI2Z0NU7o_gQipNj7lUw&s,100
3,Danang Downtown (formerly Asia Park),Công viên giải trí có vòng đu quay khổng lồ & trò tàu lượn khác và khu vực vui chơi theo chủ đề các nước Châu Á.,10.00,1," Đ. 2 Tháng 9, Hoà Cường Bắc, Hải Châu, Đà Nẵng",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcROX7rKH1EY8AZb4SGyhYZKkdTgm5AXh8QhXg&s,100
4,Hoi An ancient town,"Hội An là một thành phố trực thuộc tỉnh Quảng Nam, Việt Nam. Phố cổ Hội An từng là một thương cảng quốc tế sầm uất, gồm những di sản kiến trúc đã có từ hàng trăm năm trước, được UNESCO công nhận là di sản văn hóa thế giới từ năm 1999",100.00,1,Quảng Nam,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTaeT5AOLFrw1qfDdpDSR29Auo0-w0NJZtsUw&s,100
5,Mikazuki Water Park 365,Trải nghiệm công viên nước phong cách Nhật Bản tại Mikazuki Water Park 365. Với gian trong nhà & ngoài trời là những lựa chọn tuyệt vời để trải nghiệm cùng bạn bè & gia đình. Hãy cùng lạc vào “xứ sở mặt trời mọc” thu nhỏ giữa lòng thành phố biển Đà Nẵng xinh đẹp.,100.00,1,"Khu du lịch Xuân Thiều, Nguyễn Tất Thành, Hoà Hiệp Nam, Liên Chiểu, Đà Nẵng",https://lh3.googleusercontent.com/p/AF1QipOSdERf4JXKF5mNt8CUKG4HjdF6O8fNXm8I3yLp=s1360-w1360-h1020,100
6,"Thanh Ha Pottery Village, Hoi An",Ngôi làng có các xưởng gốm truyền thống nằm dọc các con ngõ và nổi tiếng với món mì đặc trưng.,100.00,1,"Phạm Phán, Thanh Hà, Hội An, Quảng Nam",,100
7,Da Nang Museum of Cham Sculpture,"Bảo tàng Điêu khắc Chăm Đà Nẵng là bảo tàng trưng bày hiện vật Chăm quy mô nhất ở Việt Nam, trực thuộc Bảo tàng Đà Nẵng",20.00,1,"Số 02 Đ. 2 Tháng 9, Bình Hiên, Hải Châu, Đà Nẵng",,100
8,Coconut boat tour,Chuyến tham quan sông nước và rừng dừa bằng thuyền thúng truyền thống cùng các hoạt động văn hóa.,50.00,1,"Cẩm Thanh, Hội An, Quảng Nam",,100
9,Ho Chi Minh\'s Mausoleum,"Lăng Chủ tịch Hồ Chí Minh, còn gọi là Lăng Hồ Chủ tịch, Lăng Bác, là nơi gìn giữ thi hài Chủ tịch Hồ Chí Minh. Lăng được chính thức khởi công ngày 2 tháng 9 năm 1973, tại vị trí lễ đài cũ giữa Quảng trường Ba Đình, nơi Chủ tịch Hồ Chí Minh từng chủ trì các cuộc gặp mặt quan trọng.",100.00,1,"1 Hùng Vương, Điện Biên, Ba Đình, Hà Nội",,100
10,Vietnam Military History Museum,"Bảo tàng Lịch sử Quân sự Việt Nam là một trong các bảo tàng quốc gia và đứng đầu trong hệ thống Bảo tàng Quân đội, hiện đang lưu giữ, trưng bày hơn 15 vạn tài liệu, hiện vật, trong đó có nhiều sưu tập độc đáo và 4 Bảo vật Quốc gia, gồm máy bay MiG-21 số hiệu 4324, máy bay MiG-21 số hiệu 5121",129.00,1,"Tây Mỗ, Nam Từ Liêm, Hà Nội",,100
11,Hanoi Opera House,"Nhà hát Lớn Hà Nội là một công trình kiến trúc tại thành phố Hà Nội, Việt Nam, phục vụ biểu diễn nghệ thuật.",60.00,1,"1 Tràng Tiền, Phan Chu Trinh, Hoàn Kiếm, Hà Nội",,100
12,Hoa Lo Prison,Nhà tù Hỏa Lò hay nhà pha Hỏa Lò là một nhà tù do thực dân Pháp xây dựng trên khu đất xưa thuộc làng Hỏa Lò,50.00,1,"1  P. Hoả Lò, Trần Hưng Đạo, Hoàn Kiếm, Hà Nội",,100
13,Imperial Citadel of Thang Long,"Hoàng thành Thăng Long là quần thể di tích gắn với lịch sử kinh thành Thăng Long - Đông Kinh và tỉnh thành Hà Nội bắt đầu từ thời kì tiền Thăng Long qua thời Đinh - Tiền Lê, phát triển mạnh dưới thời Lý, Trần, Lê và thành Hà Nội dưới triều Nguyễn",50.00,1,"19c Hoàng Diệu, Điện Biên, Ba Đình, Hà Nội",,100
14,Thang Long Water Puppet Theatre,Địa điểm biểu diễn nghệ thuật có tổ chức các tiết mục múa rối nước trên sân khấu cùng nhạc nền.,45.00,1,"57B P. Đinh Tiên Hoàng, Hàng Bạc, Hoàn Kiếm, Hà Nội",,100
